Model,File Name,n,reference,Units,type,quality.rating,set,select,bgcpaper,tmp,enaR,in.Ulanowicz,in.50set
''Lake Oneida (post-ZM)'',''Lake_Oneida_Post_ZM_Unbalanced.dat'',76,'' \citet{miehls09_oneida}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Lake Oneida (pre-ZM)'',''Lake_Oneida_Pre_ZM_Unbalanced.dat'',74,'' \citet{miehls09_oneida}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Lake Wingra'',''lake_wingra.dat'',5,'' \citet{richey78}'',''gC m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Lower Chesapeake Bay'',''lower_chesapeake_bay_34.dat'',34,''\citet{hagy02}'',''mg C m$^{-2}$ yr$^{-1}$ '',TRO,,,,0,1,0,0,0
''Mangroves (dry)'',''atlss_mangroves_dry.dat'',94,'' \citet{ulanowicz99_mangrove}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Mangroves (wet)'',''atlss_mangroves_wet.dat'',94,'' \citet{ulanowicz99_mangrove}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Marine Coprophagy (oyster)'',''marine_coprophagy.dat'',4,''\citet{haven66}'',''kcal m$^{-2}$ yr$^{-1}$ '',TRO,,,,1,,1,1,0
''Marine Euphotic Zone'',''Marine_Euphotic_Zone.dat'',7,''\citet{fasham85}'',''units??'',BGC,,,1,0,0,0,1,
''Marion Lake'',''marion_lake.dat'',5,'' \citet{richey78}'',''gC m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Middle Atlantic Bight'',''MAB-EMAX2006.dat'',32,'' \citet{link08}'',''g ww m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Middle Chesapeake Bay'',''middle_chesapeake_bay_34.dat'',34,''\citet{hagy02}'',''mg C m$^{-2}$ yr$^{-1}$ '',TRO,,,,0,1,0,0,0
''Mirror Lake'',''mirror_lake.dat'',5,''  \citet{richey78}'',''gC m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Mondego Estuary (Zostera sp. Meadows)'',''mondego.dat'',43,"''\citet{patricio2004ascendency,patricio2006mass}''",''g AFDW m$^{_2}$ yr$^{_1}$'',TRO,,,,1,1,1,1,0
''Narragansett Bay'',''final_narragansett.dat'',32,'' \citet{monaco97}'',''mgC m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Neuse Estuary (early summer 1997)'',''nes97.dat'',30,'' \citet{baird04}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Neuse Estuary (early summer 1998)'',''nes98.dat'',30,'' \citet{baird04}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Neuse Estuary (late summer 1997) '',''nls97.dat'',30,'' \citet{baird04}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Neuse Estuary (late summer 1998)'',''nls98.dat'',30,'' \citet{baird04}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
"''Neuse River Estuary (N,  Fall 1985)''",''neuse_4.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, AVG)''",''neuse_1.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,1,1,1,0,
"''Neuse River Estuary (N, Fall 1986)''",''neuse_8.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Fall 1987)''",''neuse_12.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Fall 1988)''",''neuse_16.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Spring 1985)''",''neuse_2.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Spring 1986)''",''neuse_6.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Spring 1987)''",''neuse_10.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Spring 1988)''",''neuse_14.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Summer 1985)''",''neuse_3.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Summer 1986)''",''neuse_7.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Summer 1987)''",''neuse_11.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Summer 1988)''",''neuse_15.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Winter 1986)''",''neuse_5.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Winter 1987)''",''neuse_9.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Winter 1988)''",''neuse_13.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Neuse River Estuary (N, Winter 1989)''",''neuse_17.dat'',7,''\citet{christian03}'',''mmol N m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
''North Sea'',''north_sea.dat'',10,''\citet{steele74}'',''kcal m$^{-2}$ yr$^{-1}$ '',TRO,,0,0,0,0,0,1,0
''Northern Benguela Upwelling'',''n_benguela.dat'',24,'' \citet{heymans00}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,1,1
